,ID,Symbol,Name,Price(USD)
0,bitcoin,BTC,Bitcoin,19213.0225984422071809
1,ethereum,ETH,Ethereum,1299.9764502898951177
2,tether,USDT,Tether,1.0006939138504030
3,binance-coin,BNB,BNB,272.8866336132472058
4,usd-coin,USDC,USD Coin,1.0004817393990703
5,binance-usd,BUSD,Binance USD,1.0004635794775664
6,xrp,XRP,XRP,0.4631981631106226
7,cardano,ADA,Cardano,0.3537465631828248
8,solana,SOL,Solana,29.4097963948226150
9,terra-luna,LUNA,Terra,2.4467071849187510
10,dogecoin,DOGE,Dogecoin,0.0600492569263466
11,polygon,MATIC,Polygon,0.8446028416512961
12,polkadot,DOT,Polkadot,6.1391031606699820
13,multi-collateral-dai,DAI,Multi Collateral DAI,1.0007593023995272
14,tron,TRX,TRON,0.0624763806191820
15,shiba-inu,SHIB,Shiba Inu,0.0000100802886742
16,uniswap,UNI,Uniswap,6.4661939482307754
17,wrapped-bitcoin,WBTC,Wrapped Bitcoin,19220.8297715047903693
18,avalanche,AVAX,Avalanche,15.3150306667722882
19,unus-sed-leo,LEO,UNUS SED LEO,4.0638175070422309
20,litecoin,LTC,Litecoin,51.8423161736728460
21,chainlink,LINK,Chainlink,6.8651870836573384
22,ethereum-classic,ETC,Ethereum Classic,22.8137584322770516
23,ftx-token,FTT,FTX Token,22.6853751565459786
24,cosmos,ATOM,Cosmos,11.9615836418122010
25,stellar,XLM,Stellar,0.1127168438881057
26,crypto-com-coin,CRO,Crypto.com Coin,0.1051958904109782
27,monero,XMR,Monero,143.4155401376956334
28,near-protocol,NEAR,NEAR Protocol,2.9099819837225362
29,algorand,ALGO,Algorand,0.3132766873227193
30,quant,QNT,Quant,174.4121809705738378
31,bitcoin-cash,BCH,Bitcoin Cash,108.0527096334250814
32,bitcoin-bep2,BTCB,Bitcoin BEP2,19195.0868131807706563
33,vechain,VET,VeChain,0.0225220059885373
34,filecoin,FIL,Filecoin,5.0633593210851886
35,flow,FLOW,Flow,1.4689936425576416
36,elrond-egld,EGLD,Elrond,57.8458775844373913
37,frax,FRAX,Frax,1.0005640464621307
38,internet-computer,ICP,Internet Computer,4.9268023227968941
39,tezos,XTZ,Tezos,1.3521279811188197
40,huobi-token,HT,Huobi Token,7.9167871631928433
41,aave,AAVE,Aave,83.1968221068703826
42,decentraland,MANA,Decentraland,0.6191731192032445
43,the-sandbox,SAND,The Sandbox,0.7435378679020621
44,eos,EOS,EOS,1.0589700987345501
45,maker,MKR,Maker,1062.4397549137353908
46,chiliz,CHZ,Chiliz,0.1719924513185119
47,theta,THETA,THETA,1.0009656347764660
48,okb,OKB,OKB,15.8893232903020200
49,kucoin-token,KCS,KuCoin Token,9.6077765115963852
50,paxos-standard,USDP,Pax Dollar,0.9887853293198883
51,bitcoin-sv,BSV,Bitcoin SV,47.8014462609953720
52,trueusd,TUSD,TrueUSD,1.0000711999086039
53,hedera-hashgraph,HBAR,Hedera Hashgraph,0.0594909194518261
54,axie-infinity,AXS,Axie Infinity,10.1020512990085172
55,zcash,ZEC,Zcash,52.2889128293622142
56,ecash,XEC,eCash,0.0000365079802955
57,iota,MIOTA,IOTA,0.2464858615517045
58,pancakeswap,CAKE,PancakeSwap,4.5049785399858786
59,ultiledger,ULT,Ultiledger,0.2088457406201419
60,neo,NEO,Neo,7.9206074255025589
61,the-graph,GRT,The Graph,0.0809633597139839
62,synthetix-network-token,SNX,Synthetix,2.3209023409492836
63,helium,HNT,Helium,4.2067918400205941
64,pax-gold,PAXG,PAX Gold,1631.3532759409422574
65,fantom,FTM,Fantom,0.2029866403817952
66,nexo,NEXO,Nexo,0.8920370809363781
67,thorchain,RUNE,THORChain,1.4744008161662471
68,gatetoken,GT,GateToken,4.3863367209932074
69,curve-dao-token,CRV,Curve DAO Token,0.8747528479583055
70,trust-wallet-token,TWT,Trust Wallet Token,1.1141359397468021
71,lido-dao,LDO,Lido DAO,1.4816127890251088
72,dash,DASH,Dash,40.8189494394597422
73,casper,CSPR,Casper,0.0417055136906460
74,enjin-coin,ENJ,Enjin Coin,0.4272428213913298
75,kava,KAVA,Kava,1.4183946011843189
76,basic-attention-token,BAT,Basic Attention Token,0.2805045485056582
77,klaytn,KLAY,Klaytn,0.1346261891304413
78,stacks,STX,Stacks,0.2993491472178276
79,zilliqa,ZIL,Zilliqa,0.0298383840599630
80,fei-protocol,FEI,Fei Protocol,0.9228250656530597
81,mina,MINA,Mina,0.5404073423923223
82,terrausd,USTC,TerraClassicUSD,0.0387229965089522
83,ravencoin,RVN,Ravencoin,0.0317209833299461
84,decred,DCR,Decred,25.8114438632975415
85,xinfin-network,XDC,XinFin Network,0.0301519608717796
86,compound,COMP,Compound,50.4348209928184751
87,waves,WAVES,Waves,3.2717111727888120
88,1inch,1INCH,1inch Network,0.5679515526473534
89,convex-finance,CVX,Convex Finance,5.0399294385880545
90,holo,HOT,Holo,0.0019520222907788
91,arweave,AR,Arweave,10.1094986577349329
92,nem,XEM,NEM,0.0374846099610489
93,loopring,LRC,Loopring,0.2532255543864385
94,gemini-dollar,GUSD,Gemini Dollar,0.9991606150415022
95,celo,CELO,Celo,0.7023099711293740
96,kusama,KSM,Kusama,37.8270445210425913
97,bitcoin-gold,BTG,Bitcoin Gold,17.2367499500375585
98,binaryx,BNX,BinaryX,148.7054686911255916
99,oasis-network,ROSE,Oasis Network,0.0583291622368967
